client_code,product,push_notification
19,Кредитная карта,"Азамат, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
20,Обмен валют,"Анель, вы совершаете валютные операции. В приложении выгодный обмен без скрытых комиссий. Настроить обмен."
21,Обмен валют,"Павел, вы совершаете валютные операции. В приложении выгодный обмен без скрытых комиссий. Настроить обмен."
22,Обмен валют,"Аружан, вы совершаете валютные операции. В приложении выгодный обмен без скрытых комиссий. Настроить обмен."
23,Обмен валют,"Темирлан, вы совершаете валютные операции. В приложении выгодный обмен без скрытых комиссий. Настроить обмен."
24,Обмен валют,"Гульмира, вы совершаете валютные операции. В приложении выгодный обмен без скрытых комиссий. Настроить обмен."
25,Кредитная карта,"Адиль, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
26,Кредитная карта,"Маржан, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
27,Кредитная карта,"Нурсултан, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
28,Кредитная карта,"Алтынай, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
29,Кредитная карта,"Сая, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
30,Кредитная карта,"Ербол, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
31,Кредитная карта,"Дамир, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
32,Кредитная карта,"Алия, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
33,Кредитная карта,"Мерей, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
35,Кредитная карта,"Самат, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
36,Кредитная карта,"Назым, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
37,Кредитная карта,"Гульнар, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
38,Кредитная карта,"Серик, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
39,Кредитная карта,"Ляззат, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
41,Кредитная карта,"Сандугаш, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
42,Кредитная карта,"Рустем, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
46,Кредитная карта,"Арсен, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
48,Кредитная карта,"Ержан, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
49,Кредитная карта,"Амина, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
50,Кредитная карта,"Тимурлан, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
51,Кредитная карта,"Жанат, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
52,Кредитная карта,"Милана, ваши топ-категории — Кафе и рестораны, Продукты питания. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
53,Кредитная карта,"Расул, ваши топ-категории — Продукты питания, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях. Оформить карту."
54,Карта для путешествий,"Виктория, в последние месяцы у вас много расходов на поездки и такси (1057426 ₸). С картой для путешествий вернули бы 42297 ₸ кешбэка. Оформить карту."
55,Золотые слитки,"Асель, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
56,Золотые слитки,"Нуркен, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
57,Золотые слитки,"Жания, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
58,Золотые слитки,"Султан, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
59,Золотые слитки,"Динара, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
60,Золотые слитки,"Ермек, вы уже инвестируете в золото. Расширьте портфель с выгодными условиями. Узнать больше."
